Biological_String,CL_Code
"Gr1-positive, CD43-positive monocyte",CL:0002398
CD1c-positive myeloid dendritic cell,CL:0002399
fraction B/C precursor B cell,CL:0002400
mature dendritic epithelial T cell precursor,CL:0002401
Peyer's patch B cell,CL:0002402
mature Vgamma2-positive fetal thymocyte,CL:0002403
fetal thymocyte,CL:0002404
gamma-delta thymocyte,CL:0002405
immature Vgamma2-positive thymocyte,CL:0002406
mature Vgamma2-positive thymocyte,CL:0002407
immature Vgamma2-negative thymocyte,CL:0002408
mature Vgamma2-negative thymocyte,CL:0002409
pancreatic stellate cell,CL:0002410
"Vgamma1.1-positive, Vdelta6.3-negative thymocyte",CL:0002411
"Vgamma1.1-positive, Vdelta6.3-positive thymocyte",CL:0002412
"mature Vgamma1.1-positive, Vdelta6.3-negative thymocyte",CL:0002413
"immature Vgamma1.1-positive, Vdelta6.3-negative thymocyte",CL:0002414
"immature Vgamma1.1-positive, Vdelta6.3-positive thymocyte",CL:0002415
"mature Vgamma1.1-positive, Vdelta6.3-positive thymocyte",CL:0002416
primitive erythroid lineage cell,CL:0002417
hemangioblast,CL:0002418
mature T cell,CL:0002419
immature T cell,CL:0002420
nucleated reticulocyte,CL:0002421
enucleated reticulocyte,CL:0002422
DN2a thymocyte,CL:0002423
DN2b thymocyte,CL:0002424
early T lineage precursor,CL:0002425
"CD11b-positive, CD27-positive natural killer cell, mouse",CL:0002426
resting double-positive thymocyte,CL:0002427
double-positive blast,CL:0002428
CD69-positive double-positive thymocyte,CL:0002429
"CD4-intermediate, CD8-positive double-positive thymocyte",CL:0002430
"CD4-positive, CD8-intermediate double-positive thymocyte",CL:0002431
"CD24-positive, CD4 single-positive thymocyte",CL:0002432
"CD69-positive, CD4-positive single-positive thymocyte",CL:0002433
"CD24-positive, CD8 single-positive thymocyte",CL:0002434
"CD69-positive, CD8-positive single-positive thymocyte",CL:0002435
mature CD4 single-positive thymocyte,CL:0002436
mature CD8 single-positive thymocyte,CL:0002437
"NK1.1-positive natural killer cell, mouse",CL:0002438
"NKGA2-positive natural killer cell, mouse",CL:0002439
"Ly49D-positive natural killer cell, mouse",CL:0002440
"CD94-positive natural killer cell, mouse",CL:0002441
"CD94-negative, Ly49CI-negative natural killer cell, mouse",CL:0002442
"Ly49CI-positive natural killer cell, mouse",CL:0002443
"Ly49H-positive natural killer cell, mouse",CL:0002444
"Ly49D-negative natural killer cell, mouse",CL:0002445
"Ly49CI-negative natural killer cell, mouse",CL:0002446
"CD94-negative natural killer cell, mouse",CL:0002447
"Ly49H-negative natural killer cell, mouse",CL:0002448
"CD94-positive Ly49CI-positive natural killer cell, mouse",CL:0002449
tether cell,CL:0002450
mammary stem cell,CL:0002451
oligodendrocyte precursor cell,CL:0002453
"CD4-negative, CD8-alpha-negative, CD11b-positive dendritic cell",CL:0002454
CD8-alpha-negative plasmacytoid dendritic cell,CL:0002455
CD8-alpha-positive plasmacytoid dendritic cell,CL:0002456
epidermal Langerhans cell,CL:0002457
langerin-positive dermal dendritic cell,CL:0002458
langerin-negative dermal dendritic cell,CL:0002459
CD8-alpha-negative thymic conventional dendritic cell,CL:0002460
CD103-positive dendritic cell,CL:0002461
adipose dendritic cell,CL:0002462
SIRPa-positive adipose dendritic cell,CL:0002463
SIRPa-negative adipose dendritic cell,CL:0002464
CD11b-positive dendritic cell,CL:0002465
small intestine serosal dendritic cell,CL:0002466
Gr1-high myeloid suppressor cell,CL:0002467
Gr1-low myeloid suppressor cell,CL:0002468
MHC-II-negative classical monocyte,CL:0002469
MHC-II-positive classical monocyte,CL:0002470
MHC-II-negative non-classical monocyte,CL:0002471
MHC-II-low non-classical monocyte,CL:0002472
MHC-II-high non-classical monocyte,CL:0002473
lymphoid MHC-II-negative classical monocyte,CL:0002474
lymphoid MHC-II-negative non-classical monocyte,CL:0002475
bone marrow macrophage,CL:0002476
adipose macrophage,CL:0002477
F4/80-negative adipose macrophage,CL:0002478
F4/80-positive adipose macrophage,CL:0002479
nasal mucosa goblet cell,CL:0002480
peritubular myoid cell,CL:0002481
dermal melanocyte,CL:0002482
hair follicle melanocyte,CL:0002483
epithelial melanocyte,CL:0002484
retinal melanocyte,CL:0002485
strial intermediate cell,CL:0002486
cutaneous/subcutaneous mechanoreceptor cell,CL:0002487
trophoblast giant cell,CL:0002488
double negative thymocyte,CL:0002489
organ of Corti supporting cell,CL:0002490
auditory epithelial cell,CL:0002491
strial marginal cell,CL:0002492
strial basal cell,CL:0002493
cardiocyte,CL:0002494
fetal cardiomyocyte,CL:0002495
intraepithelial lymphocyte,CL:0002496
primary trophoblast giant cell,CL:0002497
secondary trophoblast giant cell,CL:0002498
spongiotrophoblast cell,CL:0002499
P enteroendocrine cell,CL:0002500
type D1 enteroendocrine cell,CL:0002501
type M enteroendocrine cell,CL:0002502
adventitial cell,CL:0002503
enteric smooth muscle cell,CL:0002504
liver CD103-negative dendritic cell,CL:0002505
liver CD103-positive dendritic cell,CL:0002506
langerin-positive lymph node dendritic cell,CL:0002507
"langerin-negative, CD103-negative lymph node dendritic cell",CL:0002508
"CD103-positive, langerin-positive lymph node dendritic cell",CL:0002509
"CD103-negative, langerin-positive lymph node dendritic cell",CL:0002510
"CD11b-low, CD103-negative, langerin-negative lymph node dendritic cell",CL:0002511
"CD11b-high, CD103-negative, langerin-negative lymph node dendritic cell",CL:0002512
Vgamma5-positive CD8-alpha alpha positive gamma-delta intraepithelial T cell,CL:0002513
Vgamma5-negative CD8-alpha alpha positive gamma-delta intraepithelial T cell,CL:0002514
interrenal norepinephrine type cell,CL:0002515
interrenal chromaffin cell,CL:0002516
interrenal epinephrin secreting cell,CL:0002517
kidney epithelial cell,CL:0002518
interrenal epithelial cell,CL:0002519
nephrocyte,CL:0002520
subcutaneous adipocyte,CL:0002521
renal filtration cell,CL:0002522
mesonephric podocyte,CL:0002523
disseminated nephrocyte,CL:0002524
metanephric podocyte,CL:0002525
CD14-positive dermal dendritic cell,CL:0002526
immature CD14-positive dermal dendritic cell,CL:0002527
mature CD14-positive dermal dendritic cell,CL:0002528
CD1a-positive dermal dendritic cell,CL:0002529
immature CD1a-positive dermal dendritic cell,CL:0002530
mature CD1a-positive dermal dendritic cell,CL:0002531
CD16-positive myeloid dendritic cell,CL:0002532
immature CD16-positive myeloid dendritic cell,CL:0002533
mature CD16-positive myeloid dendritic cell,CL:0002534
epithelial cell of cervix,CL:0002535
epithelial cell of amnion,CL:0002536
amnion mesenchymal stem cell,CL:0002537
intrahepatic cholangiocyte,CL:0002538
aortic smooth muscle cell,CL:0002539
mesenchymal stem cell of the bone marrow,CL:0002540
chorionic membrane mesenchymal stem cell,CL:0002541
vein endothelial cell,CL:0002543
aortic endothelial cell,CL:0002544
thoracic aorta endothelial cell,CL:0002545
embryonic blood vessel endothelial progenitor cell,CL:0002546
fibroblast of the aortic adventitia,CL:0002547
fibroblast of cardiac tissue,CL:0002548
fibroblast of choroid plexus,CL:0002549
fibroblast of the conjunctiva,CL:0002550
fibroblast of dermis,CL:0002551
fibroblast of gingiva,CL:0002552
fibroblast of lung,CL:0002553
fibroblast of lymphatic vessel,CL:0002554
fibroblast of mammary gland,CL:0002555
fibroblast of periodontium,CL:0002556
fibroblast of pulmonary artery,CL:0002557
fibroblast of villous mesenchyme,CL:0002558
hair follicle cell,CL:0002559
inner root sheath cell,CL:0002560
outer root sheath cell,CL:0002561
hair germinal matrix cell,CL:0002562
intestinal epithelial cell,CL:0002563
nucleus pulposus cell of intervertebral disc,CL:0002564
iris pigment epithelial cell,CL:0002565
dark melanocyte,CL:0002566
light melanocyte,CL:0002567
mesenchymal stem cell of Wharton's jelly,CL:0002568
mesenchymal stem cell of umbilical cord,CL:0002569
mesenchymal stem cell of adipose tissue,CL:0002570
hepatic mesenchymal stem cell,CL:0002571
vertebral mesenchymal stem cell,CL:0002572
Schwann cell,CL:0002573
stromal cell of pancreas,CL:0002574
central nervous system pericyte,CL:0002575
perineurial cell,CL:0002576
placental epithelial cell,CL:0002577
mesenteric preadipocyte,CL:0002578
omentum preadipocyte,CL:0002579
preadipocyte of the breast,CL:0002580
perirenal preadipocyte,CL:0002581
visceral preadipocyte,CL:0002582
subcutaneous preadipocyte,CL:0002583
renal cortical epithelial cell,CL:0002584
retinal blood vessel endothelial cell,CL:0002585
retinal pigment epithelial cell,CL:0002586
smooth muscle cell of the umbilical vein,CL:0002588
smooth muscle cell of the brachiocephalic vasculature,CL:0002589
smooth muscle cell of the brain vasculature,CL:0002590
smooth muscle cell of the pulmonary artery,CL:0002591
smooth muscle cell of the coronary artery,CL:0002592
smooth muscle cell of the internal thoracic artery,CL:0002593
smooth muscle cell of the umbilical artery,CL:0002594
smooth muscle cell of the subclavian artery,CL:0002595
smooth muscle cell of the carotid artery,CL:0002596
smooth muscle cell of bladder,CL:0002597
bronchial smooth muscle cell,CL:0002598
smooth muscle cell of the esophagus,CL:0002599
smooth muscle cell of trachea,CL:0002600
uterine smooth muscle cell,CL:0002601
annulus pulposus cell,CL:0002602
astrocyte of the cerebellum,CL:0002603
hippocampal astrocyte,CL:0002604
astrocyte of the cerebral cortex,CL:0002605
astrocyte of the spinal cord,CL:0002606
migratory enteric neural crest cell,CL:0002607
hippocampal neuron,CL:0002608
raphe nuclei neuron,CL:0002610
neuron of the dorsal spinal cord,CL:0002611
neuron of the ventral spinal cord,CL:0002612
striatum neuron,CL:0002613
neuron of the substantia nigra,CL:0002614
adipocyte of omentum tissue,CL:0002615
perirenal adipocyte,CL:0002616
adipocyte of breast,CL:0002617
endothelial cell of umbilical vein,CL:0002618
adult endothelial progenitor cell,CL:0002619
skin fibroblast,CL:0002620
gingival epithelial cell,CL:0002621
prostate stromal cell,CL:0002622
acinar cell of salivary gland,CL:0002623
paneth cell of the appendix,CL:0002624
seminiferous tubule epithelial cell,CL:0002625
immature astrocyte,CL:0002626
mature astrocyte,CL:0002627
immature microglial cell,CL:0002628
mature microglial cell,CL:0002629
actinomycete-type spore,CL:0002630
epithelial cell of upper respiratory tract,CL:0002631
epithelial cell of lower respiratory tract,CL:0002632
respiratory basal cell,CL:0002633
epithelial cell of anal column,CL:0002634
nonkeratinized epithelial cell of anal column,CL:0002635
nonkeratinized epithelial cell of inferior part of anal canal,CL:0002636
keratinized epithelial cell of the anal canal,CL:0002637
bronchioalveolar stem cell,CL:0002638
amniotic stem cell,CL:0002639
amniotic epithelial stem cell,CL:0002640
epithelial cell of esophageal gland proper,CL:0002641
epithelial cell of esophageal cardiac gland,CL:0002642
nonkeratinized cell of stratum corneum of esophageal epithelium,CL:0002643
endo-epithelial cell of tympanic part of viscerocranial mucosa,CL:0002644
endo-epithelial cell of pharyngotympanic part of viscerocranial mucosa,CL:0002645
obsolete epithelial cell of buccal part of viscerocranial mucosa,CL:0002646
obsolete epithelial cell of anterior palatal part of viscerocranial mucosa,CL:0002647
obsolete epithelial cell of nasal part of viscerocranial mucosa,CL:0002648
obsolete epithelial cell of gingival part of viscerocranial mucosa,CL:0002649
obsolete epithelial cell of paranasal sinus part of viscerocranial mucosa,CL:0002650
endothelial cell of venous sinus of spleen,CL:0002651
endothelial cell of high endothelial venule,CL:0002652
squamous endothelial cell,CL:0002653
epithelial cell of stratum corneum of esophageal epithelium,CL:0002654
epithelial cell of stratum spinosum of esophageal epithelium,CL:0002655
glandular endometrial unciliated epithelial cell,CL:0002656
glandular cell of esophagus,CL:0002657
glandular cell of the large intestine,CL:0002658
glandular epithelial cell of stomach,CL:0002659
luminal cell of acinus of lactiferous gland,CL:0002660
luminal cell of lactiferous terminal ductal lobular unit,CL:0002661
luminal cell of lactiferous duct,CL:0002662
myocardial endocrine cell of atrium,CL:0002663
cardioblast,CL:0002664
otic fibrocyte,CL:0002665
type 2 otic fibrocyte,CL:0002666
type 5 otic fibrocyte,CL:0002667
type 4 otic fibrocyte,CL:0002668
type 3 otic fibrocyte,CL:0002669
type 1 otic fibrocyte,CL:0002670
endothelial stalk cell,CL:0002671
retinal progenitor cell,CL:0002672
tongue muscle cell,CL:0002673
H minus,CL:0002674
H plus,CL:0002675
neural crest derived neuroblast,CL:0002676
naive regulatory T cell,CL:0002677
memory regulatory T cell,CL:0002678
natural helper lymphocyte,CL:0002679
PP cell of intestine,CL:0002680
kidney cortical cell,CL:0002681
bistratified retinal ganglion cell,CL:0003001
G1 retinal ganglion cell,CL:0003002
G2 retinal ganglion cell,CL:0003003
G3 retinal ganglion cell,CL:0003004
G4 retinal ganglion cell,CL:0003005
G4-ON retinal ganglion cell,CL:0003006
G4-OFF retinal ganglion cell,CL:0003007
G5 retinal ganglion cell,CL:0003008
G6 retinal ganglion cell,CL:0003009
G7 retinal ganglion cell,CL:0003010
G8 retinal ganglion cell,CL:0003011
G9 retinal ganglion cell,CL:0003012
G10 retinal ganglion cell,CL:0003013
G11 retinal ganglion cell,CL:0003014
G11-ON retinal ganglion cell,CL:0003015
G11-OFF retinal ganglion cell,CL:0003016
retinal ganglion cell B3 outer,CL:0003017
retinal ganglion cell B3 inner,CL:0003018
retinal ganglion cell C outer,CL:0003020
retinal ganglion cell C4,CL:0003021
retinal ganglion cell C5,CL:0003022
retinal ganglion cell C6,CL:0003023
retinal ganglion cell C inner,CL:0003024
retinal ganglion cell C3,CL:0003025
retinal ganglion cell D1,CL:0003026
retinal ganglion cell D2,CL:0003027
M1 retinal ganglion cell,CL:0003028
M2 retinal ganglion cell,CL:0003029
M3 retinal ganglion cell,CL:0003030
M3-ON retinal ganglion cell,CL:0003031
M3-OFF retinal ganglion cell,CL:0003032
M4 retinal ganglion cell,CL:0003033
M5 retinal ganglion cell,CL:0003034
M6 retinal ganglion cell,CL:0003035
M7 retinal ganglion cell,CL:0003036
M7-ON retinal ganglion cell,CL:0003037
M7-OFF retinal ganglion cell,CL:0003038
M8 retinal ganglion cell,CL:0003039
M9 retinal ganglion cell,CL:0003040
M9-ON retinal ganglion cell,CL:0003041
M9-OFF retinal ganglion cell,CL:0003042
M10 retinal ganglion cell,CL:0003043
M11 retinal ganglion cell,CL:0003044
M12 retinal ganglion cell,CL:0003045
M13 retinal ganglion cell,CL:0003046
M14 retinal ganglion cell,CL:0003047
L cone cell,CL:0003048
M cone cell,CL:0003049
S cone cell,CL:0003050
UV cone cell,CL:0003051
local interneuron,CL:0004001
retinal ganglion cell B,CL:0004115
retinal ganglion cell C,CL:0004116
retinal ganglion cell A,CL:0004117
retinal ganglion cell B1,CL:0004119
retinal ganglion cell A1,CL:0004120
retinal ganglion cell B2,CL:0004121
retinal ganglion cell C1,CL:0004124
retinal ganglion cell C2 inner,CL:0004125
retinal ganglion cell C2 outer,CL:0004126
retinal ganglion cell A2 inner,CL:0004137
retinal ganglion cell A2,CL:0004138
retinal ganglion cell A2 outer,CL:0004139
510 nm-cone,CL:0004161
360 nm-cone,CL:0004162
retinal ganglion cell B3,CL:0004183
type 3a cone bipolar cell,CL:0004213
type 3b cone bipolar cell,CL:0004214
type 5a cone bipolar cell,CL:0004215
type 5b cone bipolar cell,CL:0004216
H1 horizontal cell,CL:0004217
H2 horizontal cell,CL:0004218
A2 amacrine cell,CL:0004219
flag amacrine cell,CL:0004220
flag A amacrine cell,CL:0004221
flag B amacrine cell,CL:0004222
AB diffuse-1 amacrine cell,CL:0004223
AB diffuse-2 amacrine cell,CL:0004224
spider amacrine cell,CL:0004225
monostratified amacrine cell,CL:0004226
flat bistratified amacrine cell,CL:0004227
broad diffuse amacrine cell,CL:0004228
A2-like amacrine cell,CL:0004229
diffuse bistratified amacrine cell,CL:0004230
recurving diffuse amacrine cell,CL:0004231
starburst amacrine cell,CL:0004232
DAPI-3 amacrine cell,CL:0004233
diffuse multistratified amacrine cell,CL:0004234
AB broad diffuse-1 amacrine cell,CL:0004235
AB broad diffuse-2 amacrine cell,CL:0004236
fountain amacrine cell,CL:0004237
asymmetric bistratified amacrine cell,CL:0004238
wavy bistratified amacrine cell,CL:0004239
WF1 amacrine cell,CL:0004240
WF2 amacrine cell,CL:0004241
WF3-1 amacrine cell,CL:0004242
WF3-2 amacrine cell,CL:0004243
WF4 amacrine cell,CL:0004244
indoleamine-accumulating amacrine cell,CL:0004245
monostratified cell,CL:0004246
bistratified cell,CL:0004247
bistratified retinal amacrine cell,CL:0004250
narrow field retinal amacrine cell,CL:0004251
medium field retinal amacrine cell,CL:0004252
wide field retinal amacrine cell,CL:0004253
spinal cord interneuron,CL:0005000
iridoblast,CL:0005001
xanthoblast,CL:0005002
leucoblast,CL:0005003
pigment erythroblast,CL:0005004
cyanoblast,CL:0005005
ionocyte,CL:0005006
Kolmer-Agduhr neuron,CL:0005007
macular hair cell,CL:0005008
renal principal cell,CL:0005009
renal intercalated cell,CL:0005010
renal alpha-intercalated cell,CL:0005011
multiciliated epithelial cell,CL:0005012
single ciliated epithelial cell,CL:0005013
auditory epithelial supporting cell,CL:0005014
inner phalangeal cell,CL:0005015
obsolete apical cell,CL:0005016
obsolete plant basal cell,CL:0005017
ghrelin secreting cell,CL:0005018
pancreatic epsilon cell,CL:0005019
lymphangioblast,CL:0005020
mesenchymal lymphangioblast,CL:0005021
vascular lymphangioblast,CL:0005022
branchiomotor neuron,CL:0005023
somatomotor neuron,CL:0005024
visceromotor neuron,CL:0005025
hepatoblast,CL:0005026
preameloblast,CL:0007000
skeletogenic cell,CL:0007001
precementoblast,CL:0007002
preodontoblast,CL:0007003
premigratory neural crest cell,CL:0007004
notochordal cell,CL:0007005
chordamesodermal cell,CL:0007006
notochordal sheath cell,CL:0007007
notochordal vacuole cell,CL:0007008
prechondroblast,CL:0007009
preosteoblast,CL:0007010
enteric neuron,CL:0007011
non-terminally differentiated odontoblast,CL:0007012
terminally differentiated odontoblast,CL:0007013
obsolete cell line cell,CL:0007014
obsolete mortal cell line cell,CL:0007015
adaxial cell,CL:0007016
Stiftchenzellen,CL:0007017
epidermal ciliary cell,CL:0007018
epidermal mucus secreting cell,CL:0007019
bottle cell,CL:0007020
alarm substance cell,CL:0007021
micropylar cell,CL:0007022
flask cell,CL:0007023
non-striated muscle cell,CL:0008000
hematopoietic precursor cell,CL:0008001
skeletal muscle fiber,CL:0008002
somatic muscle myotube,CL:0008003
somatic muscle cell,CL:0008004
obliquely striated somatic muscle cell,CL:0008005
muscle founder cell,CL:0008006
visceral muscle cell,CL:0008007
striated visceral muscle cell,CL:0008008
transversely striated visceral muscle cell,CL:0008009
cranial somatomotor neuron,CL:0008010
skeletal muscle satellite stem cell,CL:0008011
quiescent skeletal muscle satellite cell,CL:0008012
cranial visceromotor neuron,CL:0008013
obsolete excitatory motor neuron,CL:0008014
inhibitory motor neuron,CL:0008015
activated skeletal muscle satellite cell,CL:0008016
adult skeletal muscle myoblast,CL:0008017
somatic muscle myoblast,CL:0008018
mesenchymal cell,CL:0008019
skeletal muscle satellite myogenic cell,CL:0008020
anterior lateral line ganglion neuron,CL:0008021
endocardial cushion cell,CL:0008022
obsolete cardiac fibroblast,CL:0008023
pancreatic endocrine cell,CL:0008024
noradrenergic neuron,CL:0008025
open tracheal system tracheocyte,CL:0008026
rod bipolar cell (sensu Mus),CL:0008027
visual system neuron,CL:0008028
obsolete inhibitory neuron,CL:0008029
obsolete excitatory neuron,CL:0008030
cortical interneuron,CL:0008031
rosehip neuron,CL:0008032
decidual pericyte,CL:0008033
mural cell,CL:0008034
microcirculation associated smooth muscle cell,CL:0008035
extravillous trophoblast,CL:0008036
gamma motor neuron,CL:0008037
alpha motor neuron,CL:0008038
lower motor neuron,CL:0008039
squamous endothelial cell of venule,CL:0008040
mesothelial cell of intestine,CL:0008041
tanycyte of subfornical organ,CL:0008042
tanycyte of area postrema,CL:0008044
tanycyte of subcommissural organ,CL:0008045
extrafusal muscle fiber,CL:0008046
intrafusal muscle fiber,CL:0008047
upper motor neuron,CL:0008048
Betz cell,CL:0008049
circumventricular organ capillary endothelial cell,CL:0008053
respiratory tract secretory epithelial cell,CL:0008055
GABA-Gly neuron,CL:0008059
GABA-Glut neuron,CL:0008060
GABA-Chol neuron,CL:0008061
sensory neuron of spinal nerve,CL:0009000
compound eye retinal cell,CL:0009001
inflammatory cell,CL:0009002
larval midgut cell,CL:0009003
retinal cell,CL:0009004
salivary gland cell,CL:0009005
enteroendocrine cell of small intestine,CL:0009006
gastrointestinal tract (lamina propria) macrophage of small intestine,CL:0009007
gastrointestinal tract (lamina propria) macrophage of large intestine,CL:0009008
paneth cell of colon,CL:0009009
transit amplifying cell,CL:0009010
transit amplifying cell of colon,CL:0009011
transit amplifying cell of small intestine,CL:0009012
fetal hepatobiliary progenitor cell,CL:0009013
Peyer's patch lymphocyte,CL:0009014
Peyer's patch follicular dendritic cell,CL:0009015
intestinal crypt stem cell of large intestine,CL:0009016
intestinal crypt stem cell of small intestine,CL:0009017
lymphocyte of large intestine lamina propria,CL:0009018
nephrogenic zone cell,CL:0009019
tuft cell of appendix,CL:0009020
stromal cell of lamina propria of large intestine,CL:0009021
stromal cell of lamina propria of small intestine,CL:0009022
small intestine Peyer's patch T cell,CL:0009023
mesothelial cell of small intestine,CL:0009024
mesothelial cell of colon,CL:0009025
enterocyte of appendix,CL:0009026
transit amplifying cell of appendix,CL:0009027
intestinal crypt stem cell of appendix,CL:0009028
mesothelial cell of appendix,CL:0009029
enteroendocrine cell of appendix,CL:0009030
T cell of appendix,CL:0009031
B cell of appendix,CL:0009032
plasma cell of appendix,CL:0009033
dendritic cell of appendix,CL:0009034
stromal cell of lamina propria of vermiform appendix,CL:0009035
appendix macrophage,CL:0009036
lymph node mantle zone B cell,CL:0009037
colon macrophage,CL:0009038
colon goblet cell,CL:0009039
stromal cell of lamina propria of colon,CL:0009040
tuft cell of colon,CL:0009041
enteroendocrine cell of colon,CL:0009042
intestinal crypt stem cell of colon,CL:0009043
lymphocyte of small intestine lamina propria,CL:0009044
B cell of medullary sinus of lymph node,CL:0009045
T cell of medullary sinus of lymph node,CL:0009046
macrophage of medullary sinus of lymph node,CL:0009047
anorectum macrophage,CL:0009048
smooth muscle cell of high endothelial venule of lymph node,CL:0009049
B cell of anorectum,CL:0009050
T cell of anorectum,CL:0009051
smooth muscle cell of anorectum,CL:0009052
stromal cell of anorectum lamina propria,CL:0009053
microfold cell of epithelium proper of anorectum,CL:0009054
paneth cell of anorectum,CL:0009055
transit amplifying cell of anorectum,CL:0009056
anorectum goblet cell,CL:0009057
enterocyte of anorectum,CL:0009058
plasma cell of medullary sinus of lymph node,CL:0009059
marginal zone B cell of lymph node,CL:0009060
intestinal crypt stem cell of anorectum,CL:0009061
germinal center T cell,CL:0009062
enteroendocrine cell of anorectum,CL:0009063
lymph node paracortex T cell,CL:0009064
tuft cell of anorectum,CL:0009065
stratified squamous epithelial cell of anal canal,CL:0009066
vacuolated fetal-type enterocyte,CL:0009067
CD8aa(I) thymocyte,CL:0009068
CD8aa(II) thymocyte,CL:0009069
corticomedullary thymic epithelial cell,CL:0009070
medullary thymic epithelial cell type 1,CL:0009071
medullary thymic epithelial cell type 2,CL:0009072
medullary thymic epithelial cell type 3,CL:0009073
medullary thymic epithelial cell type 4,CL:0009074
myo-medullary thymic epithelial cell,CL:0009075
neuro-medullary thymic epithelial cell,CL:0009076
subcapsular thymic epithelial cell,CL:0009077
thymic fibroblast type 1,CL:0009078
thymic fibroblast type 2,CL:0009079
tuft cell of small intestine,CL:0009080
specified double negative thymocyte (Homo sapiens),CL:0009081
committed double negative thymocyte (Homo sapiens),CL:0009082
rearranging double negative thymocyte (Homo sapiens),CL:0009083
glandular epithelial cell of endometrium,CL:0009084
colony forming unit – Hill cell,CL:0009085
endothelial cell of respiratory system lymphatic vessel,CL:0009086
fused extravillous trophoblast,CL:0009087
circulating angiogenic cell,CL:0009088
lung pericyte,CL:0009089
endothelial colony forming cell,CL:0009090
Leydig stem cell,CL:0009091
endothelial cell of placenta,CL:0009092
smooth muscle cell of placenta,CL:0009093
endothelial cell of hepatic portal vein,CL:0009094
endothelial cell of uterus,CL:0009095
esophagus non-keratinized squamous epithelial cell,CL:0009096
embryonic skeletal muscle fiber,CL:0009097
fetal and neonatal skeletal muscle fiber,CL:0009098
fibro/adipogenic progenitor cell,CL:0009099
hepatic portal fibroblast,CL:0009100
fibroblastic reticular cell,CL:0009101
lymph node fibroblastic reticular cell,CL:0009102
lymph node marginal reticular cell,CL:0009103
B cell zone reticular cell,CL:0009104
T cell zone reticular cell,CL:0009105
medullary reticular cell,CL:0009106
lymphatic endothelial cell of subcapsular sinus ceiling,CL:0009107
lymphatic endothelial cell of subcapsular sinus floor,CL:0009108
lymphatic endothelial cell of trabecula,CL:0009109
lymphatic endothelial cell of medulla ceiling,CL:0009110
centrocyte,CL:0009111
centroblast,CL:0009112
T follicular regulatory cell,CL:0009113
monocytoid B cell,CL:0009114
lymph node lymphatic vessel endothelial cell,CL:0009115
progenitor cell of mammary luminal epithelium,CL:0009116
keratinized cell of hair follicle,CL:0010000
stromal cell of bone marrow,CL:0010001
epithelial cell of umbilical artery,CL:0010002
obsolete epithelial cell of alveolus of lung,CL:0010003
mononuclear cell of bone marrow,CL:0010004
atrioventricular bundle cell,CL:0010005
cardiac blood vessel endothelial cell,CL:0010006
His-Purkinje system cell,CL:0010007
cardiac endothelial cell,CL:0010008
camera-type eye photoreceptor cell,CL:0010009
cerebellar stellate cell,CL:0010010
cerebral cortex GABAergic interneuron,CL:0010011
cerebral cortex neuron,CL:0010012
type I pinealocyte,CL:0010013
type II pinealocyte,CL:0010014
coronet cell,CL:0010015
collar cell,CL:0010016
zygote,CL:0010017
cardiac glial cell,CL:0010020
cardiac myoblast,CL:0010021
cardiac neuron,CL:0010022
dorsal horn interneuron,CL:0011000
spinal cord motor neuron,CL:0011001
lateral motor column neuron,CL:0011002
magnocellular neurosecretory cell,CL:0011003
lens fiber cell,CL:0011004
GABAergic interneuron,CL:0011005
Lugaro cell,CL:0011006
paraxial cell,CL:0011007
embryonic hemocyte,CL:0011008
embryonic plasmatocyte,CL:0011009
lateral mesodermal cell,CL:0011010
intermediate mesodermal cell,CL:0011011
neural crest cell,CL:0011012
motile sperm cell,CL:0011013
non-motile sperm cell,CL:0011014
amoeboid sperm cell,CL:0011015
flagellated sperm cell,CL:0011016
vagal neural crest cell,CL:0011017
lymphoid tissue–inducer cell,CL:0011018
mesothelial cell of epicardium,CL:0011019
neural progenitor cell,CL:0011020
fibroblast of upper back skin,CL:0011021
fibroblast of skin of back,CL:0011022
CD25+ mast cell,CL:0011023
double negative T regulatory cell,CL:0011024
exhausted T cell,CL:0011025
progenitor cell,CL:0011026
skeletal muscle fibroblast,CL:0011027
olfactory ensheathing cell,CL:0011028
cnidocyte,CL:0011029
dermal microvascular endothelial cell,CL:0011030
monocyte-derived dendritic cell,CL:0011031
lysosome-rich enterocyte,CL:0011032
galanergic neuron,CL:0011100
chorionic trophoblast cell,CL:0011101
parasympathetic neuron,CL:0011102
sympathetic neuron,CL:0011103
interplexiform cell,CL:0011104
dopamanergic interplexiform cell,CL:0011105
GABAnergic interplexiform cell,CL:0011106
obsolete Muller cell,CL:0011107
colon epithelial cell,CL:0011108
hypocretin-secreting neuron,CL:0011109
histaminergic neuron,CL:0011110
hypothalamic gonadotropin-releasing hormone neuron,CL:0011111
obsolete magnocellular neurosecretory cell,CL:0011112
spiral ganglion neuron,CL:0011113
segmented neutrophil of bone marrow,CL:0011114
precursor cell,CL:0011115
astrocyte of the forebrain,CL:0012000
neuron of the forebrain,CL:0012001
forebrain radial glial cell,CL:0013000
cranial motor neuron,CL:0015000
pulmonary ionocyte,CL:0017000
splanchnic mesodermal cell,CL:0017001
prostate neuroendocrine cell,CL:0017002
epithelial cell of prostatic urethra,CL:0017003
telocyte,CL:0017004
lymphoblast,CL:0017005
B-lymphoblast,CL:0017006
"Axl+ dendritic cell, human",CL:0017009
